Issued by Organization,Issued for Organization,Title,Tender No,Procurement Method,Issued Date,Amendments,Closing Date,Successful Vendor,Successful Vendor City,Award Total,Date Awarded,Province / State,Country
Ministry of Health,Ministry of Health,Workplace Evolving Services and Technologies (“WEST”) Project,ON-002882,JSP,2017/03/21,7,2017/03/29,"NTT DATA Canada, Inc.",Vancouver,"$415,000,000.00",2019/03/15,British Columbia,Canada
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",EN19DMH005 FSR Roadside Brushing,EN19DMH005,ITQ,2018/07/06,0,2018/07/19,Ken's Custom Grading Ltd.,Williams Lake,"$15,720.20",2019/07/24,British Columbia,Canada
Ministry of Health,Ministry of Health,HIAL PLIS Services,ON-003094,NRFP,2018/07/13,4,2018/07/27,Maximus Canada Services INC.,Victoria,"$63,450,000.00",2019/02/06,British Columbia,Canada
Ministry of Transportation and Infrastructure,Ministry of Transportation and Infrastructure,Support for Strong Motion and Structural Health Monitoring,SRFP-STR180803,SRFP,2018/08/03,0,2018/09/05,McCall Engineering Ltd,Victoria,"$150,000.00",2019/12/10,British Columbia,Canada
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Ground surveys for Douglas-fir Beetle,FH19DSN031,ITT,2018/09/12,0,2018/09/27,Spring Hill Bison Company,Vanderhoof,"$24,144.48",2019/09/28,British Columbia,Canada
Ministry of Children and Family Development,Ministry of Children and Family Development,Prince George Independent Living Life Skills,NR089SRFP,SRFP,2018/09/21,1,2018/10/19,Sources Community Resources Society,White Rock,"$230,000.00",2019/03/01,British Columbia,Canada
Procurement Services Branch,"Ministry of Forests, Lands, Natural Resource Operations and R.D.",Thermal Drone Camera and Mounting Kit,ITQ-005655,Itq,2018/10/09,0,2018/10/16,Vincent Willian Cowie,Xenia,"$6,000.00",2019/05/03,Ohio,United States
Ministry of Children and Family Development,Ministry of Children and Family Development,Vanderhoof Staffed Residential Program,NR082RFP,RFP,2018/10/15,3,2018/10/22,N/A,,$0.00,2019/02/06,,
Ministry of Children and Family Development,Ministry of Children and Family Development,Vanderhoof Staffed Residential Program,NR082RFP,RFP,2018/10/15,3,2018/10/22,N/A,,$0.00,2019/02/06,,
Ministry of Finance,Ministry of Finance,Request for Proposal for Registrar,ON-003224,RFP,2018/11/01,2,2018/11/09,N/A,,$0.00,2019/01/03,,
Ministry of Transportation and Infrastructure,Ministry of Transportation and Infrastructure,Real Estate Appraiser,SRFP-BMSB-011118,SRFP,2018/11/01,0,2018/11/19,Equity Valuation and Consulting Services Ltd.,Maple Ridge,"$249,000.00",2019/01/10,British Columbia,Canada
Ministry of Transportation and Infrastructure,Ministry of Transportation and Infrastructure,As and When for Contaminated Sites Work: Highways Department,558602,RQU,2018/11/06,2,2018/11/09,"SNC-Lavalin Inc,",Burnaby,"$3,000,000.00",2019/05/01,British Columbia,Canada
Ministry of Transportation and Infrastructure,Ministry of Transportation and Infrastructure,As and When for Contaminated Sites Work: Highways Department,558602,RQU,2018/11/06,2,2018/11/09,Hemmera Envirochem Inc.,Burnaby,"$3,000,000.00",2019/05/01,British Columbia,Canada
Procurement Services Branch,Ministry of Public Safety and Solicitor General,Laboratory/Pharmaceutical Refrigerators (New Westminster),ITQ-005664,Itq,2018/11/06,2,2018/11/08,Fisher Scientific Ltd,Nepean,"$12,363.68",2019/02/06,Ontario,Canada
Ministry of Transportation and Infrastructure,Ministry of Transportation and Infrastructure,As and When for Contaminated Sites Work: Highways Department,558602,RQU,2018/11/06,2,2018/11/09,Active Earth Engineering Ltd.,Victoria,"$3,000,000.00",2019/05/01,British Columbia,Canada
Ministry of Transportation and Infrastructure,Ministry of Transportation and Infrastructure,Provincial Land Survey Roster,8112018,RQU,2018/11/08,0,2018/12/03,Target Land Surveying (NW) Ltd.,Coquitlam,"$50,000.00",2019/09/20,British Columbia,Canada
Ministry of Transportation and Infrastructure,Ministry of Transportation and Infrastructure,Provincial Land Survey Roster,8112018,RQU,2018/11/08,0,2018/12/03,Aplin & Martin DBA Murray & Associates Professional Land Surveyo,Surrey,"$50,000.00",2019/10/01,British Columbia,Canada
Procurement Services Branch,"Ministry of Forests, Lands, Natural Resource Operations and R.D.",Custom and Stock Cardboard Boxes (Chiliwack and Prince George),ITQ-005667,Itq,2018/11/14,1,2018/11/16,Boxmaster,Delta,$0.00,2019/03/12,British Columbia,Canada
Ministry of Health,Ministry of Health, Laboratory Medicine Clinical Subject Matter Expert,RFPHL270,RFP,2018/11/14,0,2018/12/12,Pitangus Consulting Inc,Vancouver,"$336,000.00",2019/01/09,British Columbia,Canada
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.","SHORT-FORM REQUEST FOR PROPOSALS (""SRFP"") for Oregon Spotted Fro",GS19LMN0023,RFP,2018/11/19,0,2018/12/12,Fraser Valley Conservancy,Mission,"$17,907.00",2019/01/19,British Columbia,Canada
