Issued by Organization,Issued for Organization,Title,Tender No,Procurement Method,Issued Date,Amendments,Closing Date,Successful Vendor,Successful Vendor City,Province,Country,Award Total,Date Awarded
Insurance Corporation of BC,Insurance Corporation of BC,NRFP Media Monitoring Services,1277,NRFP,2022/04/12,1,2022/04/19,Meltwater News Canada Inc.,Toronto,,,"$397,200.00",2022/06/30
BC Timber Sales - Contracts,BC Timber Sales - Contracts,Tsitika and West Coast Multiphase,SD23TCG010,ITT,2022/05/09,2,2022/05/24,N/A,,,,$0.00,2022/06/29
BC Timber Sales - Contracts,BC Timber Sales - Contracts,Silviculture Surveys-Bulkley & Morice Area-Babine Business Area,SU23TAS3104,ITT,2022/05/18,0,2022/06/08,Paramount Forestry Ltd.,Smithers,British Columbia,Canada,"$42,837.50",2022/06/29
BC Timber Sales - Contracts,BC Timber Sales - Contracts,Silviculture Surveys - Lakes Area - Babine Business Area,SU23TAS3105,ITT,2022/05/18,0,2022/06/08,Paramount Forestry Ltd.,Smithers,British Columbia,Canada,"$46,360.00",2022/06/29
Greater Vancouver Regional District (Metro Vancouver),Greater Vancouver Regional District (Metro Vancouver),Design and Construction Services - Coquitlam Landfill - Lot #3,22-093,RQU,2022/03/11,0,2022/04/05,see https://metrovancouver.bidsandtenders.ca,Burnaby,,,$0.00,2022/06/28
BC Timber Sales - Contracts,BC Timber Sales - Contracts,"MANUAL BRUSHING,PROTECTOR REMOVAL,PRUNING,REPELLENT APPLICATION",BR23TCB014,ITT,2022/06/13,1,2022/06/20,4C Forestry Ltd.,Victoria,British Columbia,Canada,"$153,639.50",2022/06/28
Ministry of Children and Family Development,Ministry of Children and Family Development,RFP Supply of Food Items ,ON-003665,RFP,2022/01/25,5,2022/02/03,Gordon Food Service Canada Ltd,Delta,British Columbia,Canada,"$750,000.00",2022/06/28
Ministry of Citizens' Services,Ministry of Citizens' Services,Prime Consultant Team Prof. Architectural & Engineering Services,ON-003783,RFP,2022/05/30,5,2022/05/31,KMBR Architects Planners Inc.,Vancouver,British Columbia,Canada,"$596,600.00",2022/06/28
BC Timber Sales - Contracts,BC Timber Sales - Contracts,Hydrological Services,PD23TCF011,ITT,2022/06/02,1,2022/06/13,STATLU ENVIRONMENTAL CONSULTING LTD.,Chilliwack,British Columbia,Canada,"$58,750.00",2022/06/28
BC Timber Sales - Contracts,BC Timber Sales - Contracts,SP23TFG008 Mechanical Site Preparation - Arrow South,SP23TFG008,ITT,2022/05/16,1,2022/06/28,N/A,,,,$0.00,2022/06/28
BC Timber Sales - Contracts,BC Timber Sales - Contracts,SP23TFG008 Mechanical Site Preparation - Arrow South,SP23TFG008,ITT,2022/05/16,1,2022/06/28,N/A,,,,$0.00,2022/06/28
Ministry of Citizens' Services,Ministry of Citizens' Services,Automation Specialist SRFP 18 month,13369,SRFP,2022/05/04,2,2022/05/17,"Appddiction Studio, LLC",San Antonio,Texas,United States,"$292,250.00",2022/06/27
Office Of the Information and Privacy Commissioner,Office Of the Information and Privacy Commissioner,OIPC Annual Report and small projects RFP,2022OIPCAR,RFP,2022/05/05,0,2022/06/06,Myron Creative,Vancouver,,,"$54,000.00",2022/06/27
Office Of the Information and Privacy Commissioner,Office Of the Information and Privacy Commissioner,2022 OIPC and ORL Website,2022OIPCWEB,RFP,2022/05/05,0,2022/06/06,Caorda,Victoria,,,"$15,000.00",2022/06/27
Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,HYDROGRAPHIC SURVEYS AT SELECTED STRUCTURES IN BRITISH COLUMBIA,83106OP2301,MOTITT,2022/06/02,0,2022/06/23,CRA Canada Surveys Inc.,Chase,British Columbia,Canada,"$194,899.00",2022/06/27
Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,HYDROGRAPHIC SURVEYS AT SELECTED STRUCTURES IN BRITISH COLUMBIA,83106OP2301,MOTITT,2022/06/02,0,2022/06/23,CRA Canada Surveys Inc.,Chase,British Columbia,Canada,"$194,899.00",2022/06/27
BC Timber Sales - Contracts,BC Timber Sales - Contracts,Archaeological Services,AA23TCF017,ITT,2022/05/03,0,2022/05/31,N/A,,,,$0.00,2022/06/27
BC Timber Sales - Contracts,BC Timber Sales - Contracts,Archaeological Services,AA23TCF017,ITT,2022/05/03,0,2022/05/31,N/A,,,,$0.00,2022/06/27
Procurement Services Branch,Ministry of Forests,Axes - 3.5lb as per specifications attached  (Chilliwack),ITQ-007064,Itq,2022/05/20,3,2022/05/25,Cascade Supply & Marine Ltd,Chilliwack,British Columbia,Canada,"$33,398.40",2022/06/27
Procurement Services Branch,Ministry of Citizens' Services,Annual support subscription for the IMB Rational Software,ITQ-007067,Itq,2022/05/19,0,2022/05/27,CDW Canada Corp.,Victoria,British Columbia,Canada,"$24,723.45",2022/06/27
Procurement Services Branch,Ministry of Transportation and Infrastructure,Fabricate/supply concrete box stringers (Williams Lake),ITQ-007075,Itq,2022/05/24,0,2022/06/07,Con-Force Structures Ltd.,Richmond,British Columbia,Canada,"$132,160.00",2022/06/27
Alberni-Clayoquot Regional District,Alberni-Clayoquot Regional District,ITT - Lakeshore Trail,ITT - LST01-22,ITT,2022/05/19,1,2022/06/01,Denis Francoeur Backhoeing Ltd.,Port Alberni,,,"$114,172.14",2022/06/27
BC Liquor Distribution Branch,BC Liquor Distribution Branch,Visual Merchandising and Display Sourcing,RFP2022-06-01,RFP,2022/05/03,0,2022/06/01,N/A,,,,$0.00,2022/06/27
BC Liquor Distribution Branch,BC Liquor Distribution Branch,Visual Merchandising and Display Sourcing,RFP2022-06-01,RFP,2022/05/03,0,2022/06/01,N/A,,,,$0.00,2022/06/27
BC Liquor Distribution Branch,BC Liquor Distribution Branch,"Supply, Installation, Repairs and Maintenance of Roll Shutters",RFP2022-06-16,RFP,2022/05/16,0,2022/06/16,N/A,,,,$0.00,2022/06/27
University of the Fraser Valley,University of the Fraser Valley,GDD (Bldg C ) Renovation ,#22-007,ITB,2022/05/20,5,2022/05/27,Edifice Construction,Coquitlam,,,"$889,681.00",2022/06/24
Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,Red Lillooet Bridge Renewal Cayoosh Creek Bridge Parapet Replace,13080MJ0001,MOTITT,2022/06/02,2,2022/06/10,Seismic 2000 Construction Ltd.,Langley,British Columbia,Canada,"$4,429,109.76",2022/06/23
Ministry of Environment and Climate Change Strategy,Ministry of Environment and Climate Change Strategy,Bowron Lake Provincial Park Residence Water System Upgrades,CP23KAE010,ITT,2022/05/04,0,2022/06/09,Matthew Blackwell dba Blackwelld Services,Quesnel,British Columbia,Canada,"$159,113.00",2022/06/23
Ministry of Forests,Ministry of Forests,Routine Bridge Inspections - Cariboo/Chilcotin/Quesnel Districts,EN23474008,ITQ,2022/05/09,0,2022/05/31,N/A,,,,$0.00,2022/06/23
Ministry of Forests,Ministry of Forests,Archaeological Impact Assessments for Wildfire Risk Reduction,GS23FSJ0001,ITT,2022/05/06,1,2022/05/31,N/A,,,,$0.00,2022/06/23
Ministry of Forests,Ministry of Forests,Archaeological Impact Assessments for Wildfire Risk Reduction,GS23FSJ0001,ITT,2022/05/06,1,2022/05/31,N/A,,,,$0.00,2022/06/23
Ministry of Forests,Ministry of Forests,Implementation Contractor for Wildfire Risk Reduction Contracts,GS23FSJ0002,SRFP,2022/06/08,2,2022/06/14,Geoterra Integrated Resource Systems Ltd.,Vancouver,British Columbia,Canada,"$71,900.00",2022/06/23
BC Timber Sales - Contracts,BC Timber Sales - Contracts,PD23TIA303 – Wildlife Biologist Services,PD23TIA303,ITT,2022/06/15,1,2022/06/20,Westland Resources Ltd.,Terrace,British Columbia,Canada,"$39,981.00",2022/06/23
Capital Regional District,Capital Regional District,Galloping Goose Regional Trail - Veitch Creek Bridge Repairs,20.20.07-04,ITT,2022/05/06,3,2022/05/18,Axis Mountain Technical Inc.,Terrace,,,"$325,665.50",2022/06/22
Greater Vancouver Regional District (Metro Vancouver),Greater Vancouver Regional District (Metro Vancouver),Film Site Supervision Services,22-039,RFP,2022/02/23,0,2022/03/11,Angus & Associates Production Services Inc.,Vancouver,,,$0.00,2022/06/22
