Issued by Organization,Issued for Organization,Title,Tender No,Procurement Method,Issued Date,Amendments,Closing Date,Successful Vendor,Successful Vendor Address,Award Total,Date Awarded
Procurement Services Branch ,Access & Directory Management Services ,Identity & Access Management IM/IT Services ,BPM080181,Request for Proposal,2023-03-22,3,2023-05-08,Sierra Systems Group Inc.,"2025 Willingdon Ave, Burnaby, British Columbia","$7,000,000.00",2023-06-23
Ministry of Transportation and Infrastructure,Asset Management Branch ,RISP 41182 General Engineering Services for Structural Asset Management and Design Northern Region 2022,RFP-AMB-RISP41182,Request for Proposal,2022-12-15,1,2023-01-26,Allnorth,"SUITE 1810, 1111 WEST GEORGIA STREET, VANCOUVER, British Columbia","$950,000.00",2023-06-12
BC Timber Sales Branch ,Babine ,EN24TAH4403 - Dangerous Tree Assessment and Falling within the Babine Business Area ,EN24TAH4403,Invitation to Tender,2023-05-18,1,2023-06-08,Lions Den Forestry Operations Ltd,"1496 Willow St, Telkwa, British Columbia","$46,800.00",2023-06-22
BC Timber Sales Branch ,Babine ,PL24TAS4103 – Tree Planting Implementation and Supervision Services – Morice and Bulkley,PL24TAS4103,Invitation to Tender,2023-02-01,0,2023-03-01,Paramount Forestry Ltd.,"1323 Sunny Point Dr, Smithers, British Columbia","$86,000.00",2023-05-03
BC Timber Sales Branch ,Babine ,PL24TAS4104 - Supply and Delivery of Refrigerated Reefer Units for Tree Planting 2023,PL24TAS4104,Invitation to Tender,2023-01-25,1,2023-02-22,Silvertip Transport Ltd.,,"$279,517.00",2023-04-05
BC Timber Sales Branch ,,CS2483R004 Conduct a Climate Change Vulnerability Assessment,168457,Contract Award Notice,2023-06-09,0,2023-06-09,Innovative Climate Strategies Inc,", , British Columbia","$132,000.00",2023-06-09
BC Timber Sales Branch ,,Silviculture Surveys – Gaspard – Williams Lake Timber Supply Area.,SU24TLE006,Invitation to Tender,2023-04-26,1,2023-06-19,Pathocon Consulting ,Prince George,"$49,653.80",2023-06-27
BC Timber Sales Branch ,,PL24TAS4105-Lakes West/North Implementation OTR Yr1,PL24TAS4105,Invitation to Tender,2023-03-30,0,2023-04-19,Paramount Forestry Ltd.,,"$66,250.00",2023-05-29
BC Timber Sales Branch ,,Silviculture Surveys - Central Cariboo - Williams Lake Timber Supply Area,SU24TLE009,Invitation to Tender,2023-04-25,0,2023-05-24,Pathocon Consulting ,,"$57,148.00",2023-05-24
BC Timber Sales Branch ,,Herbaceous and Manual Brushing - Various Locations- Quesnel and Cascadia Timber Supply Areas,10005-40/BR24TLH003,Invitation to Tender,entered 2023-06-27,0,    ,Dewan Enterprises ltd,,"$177,789.30",2023-06-16
BC Timber Sales Branch ,,Dodd Major Works,EN24TBP001,Invitation to Tender,2023-04-18,0,2023-05-17,bob marquis contracting ltd,"3418 Yew Kwum Place, Powell River, BC   V8A 5T5","$392,887.00",2023-05-31
BC Timber Sales Branch ,,EN24TFD005 Professional Engineering Services,EN24TFD005,Request for Proposal,2023-03-17,0,2023-04-14,SNT Engineering Ltd.,"Suite 3 - 385 Baker Street, Nelson, BC  V1L 6V8","$1,000,000.00",2023-04-24
BC Timber Sales Branch ,,IM24TEM612 - Planting Implementation - Merritt TSA,IM24TEM612,Invitation to Tender,2023-03-29,0,2023-04-20,Second Pass Forestry Ltd,"2073 Van Horne Drive
Kamloops BC  V1S 1G5","$82,801.50",2023-05-17
