Issued by Organization,Issued for Organization,Title,Tender No,Procurement Method,Issued Date,Amendments,Closing Date,Successful Vendor,Successful Vendor City,Province,Country,Award Total,Date Awarded
Ministry of Attorney General,Ministry of Attorney General,NOI RPGP0220 MyOutcomes,NOI RPGP0220,NOI,2020/02/11,0,2020/02/21,MyOutcomes Empowering Self Care Inc.,Kelowna,British Columbia,Canada,"$68,000.00",2020/04/01
Ministry of Citizens' Services,Ministry of Citizens' Services,IDIM Consulting and Project Resourcing RFP,ON-003425,RFP,2020/01/02,5,2020/01/17,Sierra Systems Group Inc,Victoria,British Columbia,Canada,"$9,000,000.00",2020/04/01
Ministry of Citizens' Services,Ministry of Citizens' Services,IDIM Technical Operations- Operational Services Team (OST),ON-003450,RFP,2020/02/03,1,2020/02/10,Sierra Systems Group Inc,Victoria,British Columbia,Canada,"$5,563,630.00",2020/04/01
Ministry of Environment and Climate Change Strategy,Ministry of Environment and Climate Change Strategy,Bridge Repairs on Juan de Fuca Trail,ITT CP21NAN002,ITT,2020/02/27,0,2020/03/13,Frederick S Coppick DBA Greatscapes Installations,Comox,British Columbia,Canada,"$63,000.00",2020/04/01
Ministry of Finance,Ministry of Finance,RFP for Actuarial Services for Risk Pools,11085,RFP,2020/02/07,2,2020/02/14,S & F Actuarial Consultants,Los Angeles,California,USA,"$382,500.00",2020/04/01
Ministry of Transportation and Infrastructure,Ministry of Transportation and Infrastructure,TRAFFIC CONTROL AND FIRST AID SERVICES SKEENA DISTRICT,334LM2100,ITQ,2020/02/06,2,2020/03/05,GITXSAN SAFETY SERVICES,Hazelton,British Columbia,Canada,"$50,000.00",2020/04/01
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",West Pavilion FSR Grading & Snow Plowing,EN21DCS201,ITT,2020/02/03,0,2020/02/17,Arnica Contracting Inc.,Merritt,British Columbia,Canada,"$49,800.00",2020/04/01
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",NOI - Log Dump & Handling Facility Monitoring & Inspection,EN21LMN102,NOI,2020/03/17,0,2020/03/27,Price Huber & Associcates Inc.,Campbell River,British Columbia,Canada,"$15,000.00",2020/04/01
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Professional Services for Silviculture Investments in SouthernBC,FS21960-001,RFP,2020/03/11,1,2020/03/13,Forsite Consultants Ltd.,Salmon Arm,British Columbia,Canada,"$150,000.00",2020/04/01
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.","Janitorial Services for the Cariboo Fire Centre, Williams Lake",GS21CAE0001,ITT,2020/03/11,0,2020/03/25,L & J Diamond Maintenance Inc.,Kamloops,British Columbia,Canada,$0.00,2020/04/01
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Mobile Aviation Fuel Services,MF21BCWS,RMSA,2020/03/11,0,2020/03/31,653905 BC Ltd. dba Sequoia Fuels,Castlegar,British Columbia,Canada,$0.00,2020/04/01
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Mobile Aviation Fuel Services,MF21BCWS,RMSA,2020/03/11,0,2020/03/31,Airspan Helicopters Ltd.,Sechelt,British Columbia,Canada,$0.00,2020/04/01
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Mobile Aviation Fuel Services,MF21BCWS,RMSA,2020/03/11,0,2020/03/31,Ascent Helicopters Ltd.,Parksville,British Columbia,Canada,$0.00,2020/04/01
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Mobile Aviation Fuel Services,MF21BCWS,RMSA,2020/03/11,0,2020/03/31,Black Tusk Helicopter Inc.,Squamish,British Columbia,Canada,$0.00,2020/04/01
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Mobile Aviation Fuel Services,MF21BCWS,RMSA,2020/03/11,0,2020/03/31,Flight Fuels B.C. Ltd.,Edmonton,Alberta,Canada,$0.00,2020/04/01
