Issued by Organization,Issued for Organization,Title,Tender No,Procurement Method,Issued Date,Amendments,Closing Date,Successful Vendor,Successful Vendor City,Province,Country,Award Total,Date Awarded
Ministry of Public Safety & Solicitor General & Emergency B.C.,Ministry of Public Safety & Solicitor General & Emergency B.C.,"Coursework: WHMIS, H2S, Hazard Assess., Fall Prot., Traffic Cont",OCCFY2122CITI01,NOI,2021/03/08,0,2021/03/15,CITI Consulting,Airdrie,Alberta,Canada,"$91,800.00",2021/04/01
Ministry of Environment and Climate Change Strategy,Ministry of Environment and Climate Change Strategy,Meziadin Lake Park Operator Agreement ITQ,BCP2021-01,ITQ,2021/02/23,1,2021/03/01,Meziadin Junction Holdings Ltd,Kitwanga,British Columbia,Canada,$0.00,2021/04/01
Ministry of Attorney General,Ministry of Attorney General,NOI to Extend IT Services Contract,11641,NOI,2020/08/14,0,2020/09/18,MICROSERVE BUSINESS COMPUTER SERVICES,Burnaby,British Columbia,Canada,"$1,540,000.00",2021/04/01
Ministry of Public Safety & Solicitor General & Emergency B.C.,Ministry of Public Safety & Solicitor General & Emergency B.C.,NOI to Direct Award a Contract to JHS Thompson Region,11961,NOI,2021/01/18,0,2021/01/29,The John Howard Society of the Thompson Region,Victoria,British Columbia,Canada,"$22,081.00",2021/04/01
Ministry of Public Safety & Solicitor General & Emergency B.C.,Ministry of Public Safety & Solicitor General & Emergency B.C.,NOI to Direct Award a contract to JHS Central & South Okanagan,11962,NOI,2021/01/18,0,2021/01/29,The John Howard Society of the Central and South Okanagan,Victoria,British Columbia,Canada,"$14,447.00",2021/04/01
Ministry of Public Safety & Solicitor General & Emergency B.C.,Ministry of Public Safety & Solicitor General & Emergency B.C.,NOI to Direct Award a Contract for 1:1 Support Services,11963,NOI,2021/01/18,0,2021/01/29,Watari Counselling and Support Services.,Victoria,British Columbia,Canada,"$69,465.00",2021/04/01
Ministry of Attorney General,Ministry of Attorney General,RFP Institutional Change Anti-Racism program,11989,RFP,2021/02/16,9,2021/02/22,Colab Advantage Ltd,Vancouver,British Columbia,Canada,"$250,000.00",2021/04/01
Ministry of Public Safety & Solicitor General & Emergency B.C.,Ministry of Public Safety & Solicitor General & Emergency B.C.,NOI to Direct Award a Contract to Dee Beveridge,12012,NOI,2021/02/03,0,2021/02/13,Dee Beveridge,Victoria,British Columbia,Canada,"$14,442.00",2021/04/01
Ministry of Public Safety & Solicitor General & Emergency B.C.,Ministry of Public Safety & Solicitor General & Emergency B.C.,NOI to Direct Award a contract to PRISM Inc.,12022,NOI,2021/02/05,0,2021/02/15,Pacific Rim Information System Management Inc,Victoria,British Columbia,Canada,"$19,060.00",2021/04/01
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.","Landscaping at Northwest Fire Centre, Smithers",12152,ITQ,2021/03/05,0,2021/03/19,RS Janitorial Services,Smithers,British Columbia,Canada,"$11,200.00",2021/04/01
Ministry of Attorney General,Ministry of Attorney General,ITQS - Videoconferencing Support,12182,ITQ,2021/03/26,2,2021/03/29,Charter Telecom,Sooke,British Columbia,Canada,"$60,000.00",2021/04/01
Ministry of Public Safety & Solicitor General & Emergency B.C.,Ministry of Public Safety & Solicitor General & Emergency B.C.,NOI_20210330_RGST,20210330,NOI,2021/03/30,0,2021/04/08,Susan Birge,Victoria,British Columbia,Canada,"$9,900.00",2021/04/01
