Issued by Organization,Issued for Organization,Title,Tender No,Procurement Method,Issued Date,Amendments,Closing Date,Successful Vendor,Successful Vendor Address,Award Total,Date Awarded
Ministry of Public Safety and Solicitor General,Adult Custody Division ,CORRECTIONAL PROGRAMMING SERVICES - Vancouver Island Regional Correctional Center,SGCORR2324BBC001,Request for Proposal,2023-02-07,0,2023-03-07,The John Howard Society of Victoria,"2675 Bridge St., Victoria, British Columbia","$112,000.00",2023-03-28
Procurement Services Branch ,Adult Custody Division ,Food Services in Provincial Correctional Centres,7213,Request for Proposal,2022-10-31,0,2022-12-09,CLUBPROCURE,"400 - 1 PROLOGIS BOULEVARD, MISSISSAUGA, Ontario","$52,998,821.00",2023-03-27
Attorney General,,Update the existing Part 3 and Part 9 energy compliance tools and manuals ,9400,Request for Proposal,2023-01-06,,2022-12-10,Focal Engineering,,"$60,000.00",2023-01-04
Procurement Services Branch ,Attorney General,"Req 8473 - 9mm Supplemental Order - Practice Ammo - 150,000 Rounds",5078726,Invitation to Quote,2022-12-20,0,2023-01-03,LLOYD LIBKE LAW ENFORCEMENT SALES,"19 Ingram Dr, Toronto, Ontario","$58,500.00",2023-01-09
Procurement Services Branch ,Attorney General,Req 8448 - Purchase of practice and duty carbine ammunition,5079447,Invitation to Quote,2022-11-28,0,2022-12-09,Rampart International Corp.,"2574 Sheffield Rd, Ottawa, Ontario","$124,462.50",2023-01-09
Procurement Services Branch ,Attorney General,Clear Cover Mattress with Densified Polyester Fibre Core 4.5 x 32 x 78 inch,5080605,Invitation to Quote,2022-12-22,0,2023-01-11,SWS DETENTION GROUP INC,"1-2120 Notre Dame Ave, Winnipeg, Manitoba","$27,090.00",2023-01-12
Procurement Services Branch ,Attorney General,Tenable Software Licenses,5078638,Invitation to Quote,2022-12-12,0,2022-12-28,Managing Information Systems 3 Inc.,"1285 W Broadway, Vancouver, British Columbia","$24,000.00",2023-01-03
Procurement Services Branch ,Attorney General,Req 8469 - Courtroom Equipment - Video Conferencing,5078714,Invitation to Quote,2022-12-28,1,2023-01-13,PJS Systems Inc.,"131 E Columbia St, Unit 100, New Westminster, British Columbia","$608,898.50",2023-01-20
Procurement Services Branch ,Attorney General,2023 E-Transit-350 Cargo Van,5086635,Invitation to Quote,2023-01-06,0,2023-01-06,Metro Motors Ltd.,"2505 Lougheed Hwy., Port Coquitlam, British Columbia","$75,040.00",2023-01-09
Procurement Services Branch ,Attorney General,Flash Hiders Surefire SOCOM 3-Prong Flash Hider  SF3P-556-1/2-28,5092923,Invitation to Quote,2023-02-24,1,2023-03-06,MDC LAW ENFORCEMENT & MILITARY EQUIPMENT DISTRIBUTORS,"Unit E - 2200 Keating Cross Rd, Saanichton, British Columbia","$2,100.00",2023-03-09
Procurement Services Branch ,Attorney General,Req 8505 - 9mm Frangible Ammunition for BC Sheriff Services.,5092917,Invitation to Quote,2023-02-24,1,2023-03-06,Gravel Agency Inc,"5175 Rue John Molson, Québec, Québec","$35,400.00",2023-03-24
Procurement Services Branch ,Attorney General,Req 8503 - Purchase of 9mm Training Ammunition for BC Sheriff Services.,5090177,Invitation to Quote,2023-03-02,0,2023-03-13,LLOYD LIBKE LAW ENFORCEMENT SALES,"19 Ingram Dr, Toronto, Ontario","$47,385.00",2023-03-20
Procurement Services Branch ,Attorney General,Req 8507 - Purchase of Carbine Suppressors - Surefire SOCMM556RC2BK,5092921,Invitation to Quote,2023-02-23,2,2023-03-06,MDC LAW ENFORCEMENT & MILITARY EQUIPMENT DISTRIBUTORS,"Unit E - 2200 Keating Cross Rd, Saanichton, British Columbia","$14,890.00",2023-03-15
Procurement Services Branch ,Attorney General,Req 8527 - Purchase of carbine rifles and accessories for BCSS.,5095035,Invitation to Quote,2023-03-20,0,2023-03-20,Rampart International Corp.,"2574 Sheffield Rd, Ottawa, Ontario","$37,662.03",2023-03-20
Procurement Services Branch ,Attorney General,Req 8523 - Purchase of Rain Gear sets - Pants and Jackets for Training Institute,5094879,Invitation to Quote,2023-03-09,0,2023-03-20,Joint Force Tactical ,"Vedder Rd 103-5725 , Chilliwack, British Columbia","$10,874.64",2023-03-21
Procurement Services Branch ,Attorney General,Purchase of 9mm Duty Ammunition for BC Sheriff Services.,5090193,Invitation to Quote,2023-03-17,0,2023-03-27,"Specialty Cartridge, Inc.",", Covington, Georgia ","$14,000.00",2023-03-30
Procurement Services Branch ,Avalanche & Weather Programs ,Four (4) Road Closure Gates for MoTI Avalanche and Weather Program,160622,Invitation to Quote,2023-03-06,0,2023-03-06,Whistler Welding Services,"1932 Timber Lane , Pemberton, British Columbia","$104,500.00",2023-03-08
Ministry of Public Safety and Solicitor General,BC Corrections,Indigenous Cultural Liaison - Indigenous Spiritual Services,157396,Request for Proposal,2023-01-26,0,2023-02-23,URBAN ABORIGINAL JUSTICE SOCIETY,"#102 - 1268 5TH AVENUE, PRINCE GEORGE, British Columbia","$105,000.00",2023-03-22
Ministry of Public Safety and Solicitor General,BC Corrections,Indigenous Cultural Liaison - Program Services,SGCORR2415BVW55507,Request for Proposal,2023-01-30,0,2023-02-27,URBAN ABORIGINAL JUSTICE SOCIETY,"#102 - 1268 5TH AVENUE, PRINCE GEORGE, British Columbia","$105,000.00",2023-03-22
Ministry of Public Safety and Solicitor General,BC Corrections,"Support, Intervention & Outreach Services Kelowna Area",162689,Contract Award Notice,2023-03-27,0,2023-03-27,John Howard Society of Okanagan & Kootenay,"1440 ST. PAUL STREET, KELOWNA, British Columbia","$14,466.77",2023-03-27
Ministry of Public Safety and Solicitor General,BC Corrections,Specialized outreach services - SGCORR2415CMX42165,162523,Contract Award Notice,2023-03-24,0,2023-03-24,Connective Kamloops,"100 - 529 SEYMOUR STREET, KAMLOOPS, British Columbia","$22,081.00",2023-03-24
Procurement Services Branch ,BC Corrections,Food Services in Provincial Correctional Centres,7213,Request for Proposal,2022-10-31,0,2022-12-09,CLUBPROCURE,"400 - 1 PROLOGIS BOULEVARD, MISSISSAUGA, Ontario","$52,998,821.00",2023-03-27
BC Parks and Conservation Officer Service Division ,,LAKELSE LAKE PARK ELECTRIFICATION & WATER UPGRADE ENGINEERING SERVICES,CP23SME022,Request for Proposal,2023-02-24,0,2023-02-09,KySu Consulting Ltd.,4516 Cedar Cres. Terrace BC V8G 1X6,"$69,690.00",2023-02-24
BC Parks and Conservation Officer Service Division ,,LAKELSE LAKE PARK ELECTRIFICATION & WATER UPGRADE ENGINEERING SERVICES,156949,Request for Proposal,2023-01-20,1,2023-02-09,CTQ Consultants Ltd.,"1334 St Paul St, Kelowna, British Columbia","$99,774.00",2023-02-27
Ministry of Environment and Climate Change Strategy,BC Parks and Conservation Officer Service Division ,PROFESSIONAL SERVICES for ROLLEY LAKE and SASQUATCH PROVINCIAL PARKS CAMPGROUND EXPANSION DESIGNS,8827,Request for Proposal,2022-11-04,3,2022-12-02,CTQ Consultants Ltd.,"1334 St Paul St, Kelowna, British Columbia","$129,319.00",2023-01-19
Ministry of Environment and Climate Change Strategy,BC Parks and Conservation Officer Service Division ,Engineering Services - Emory Creek Water and Septic System Assessments and Designs,8369,Request for Proposal,2022-10-25,1,2022-11-25,MCELHANNEY LTD,"858 Beatty St, 200, Vancouver, British Columbia","$100,000.00",2023-01-16
BC Timber Sales Branch ,,PL23TBP006 Tree Planting on the Sunshine Coast,PL23TBP006,Invitation to Tender,2022-12-05,3,2023-01-26,EVERGREEN FOREST SERVICES LTD.,"#2 - 609 BAKER STREET, CAMPBELL RIVER, British Columbia","$335,294.04",2023-02-07
BC Timber Sales Branch ,,EN24TGF001-Prince George Deactivation and Maintenance,10065,Invitation to Tender,2023-01-27,1,2023-01-12,Civil North Consulting Ltd.,"9384 Summerset Place, Prince George, BC, V2K 4Z9","$210,880.00",2023-01-18
