Issued by Organization,Issued for Organization,Title,Opportunity ID,Procurement Method,Issued Date,Amendments,Closing Date,Successful Vendor,Successful Vendor Address,Award Total,Date Awarded
Product Distribution Centre ,Product Distribution Centre ,Atos Products,186140,Contract Award Notice,2023-12-06,0,2023-12-06,Atos Medical Canada,,"$17,892.00",2024-01-01
Product Distribution Centre ,Product Distribution Centre ,MIP Products,186142,Contract Award Notice,2023-12-06,0,2023-12-06,MIP Inc.,,"$6,531.41",2024-01-01
BC Timber Sales Branch ,Okanagan-Columbia ,BR25TKR004 - Herbaceous Brushing - Golden,BR25TKR004 - TOC,Invitation to Tender,2023-10-23,0,2023-11-21,All-Stars Silviculture Ltd.,,"$257,800.00",2024-01-02
Ministry of Forests,Ministry of Forests,OP24NAN605  - Qualicum Beach Fuel Management,183142,Request for Proposal,2023-11-02,2,2023-11-29,REEF POINT FALLING CONTRACTOR LTD,,"$20,700.00",2024-01-02
BC Timber Sales Branch ,Cariboo-Chilcotin ,PL25TLE003 - Spring Tree Planting – Far West Cariboo-Chilcotin – Williams Lake Timber Supply Area,PL25TLE003,Invitation to Tender,2023-11-30,0,2023-12-12,Apex Reforestation,"Box 34156 Station D, VANCOUVER, British Columbia","$2,010,204.58",2024-01-03
BC Timber Sales Branch ,Kootenay ,PL25TFD005 Tree Planting Kootenay Lake,PL25TFD005,Invitation to Tender,2023-11-08,0,2023-12-06,West Arm Silviculture Inc,"622 Front St, Nelson, British Columbia","$484,294.88",2024-01-03
BC Timber Sales Branch ,Chinook ,SU25TBP001 - Silviculture Surveys in the Sunshine Coast ,SU25TBP001,Invitation to Tender,2023-11-07,0,2023-12-05,SuavAir,,"$245,366.67",2024-01-04
BC Timber Sales Branch ,Kootenay ,PL25TFF001 Planting Boundary,PL25TFF001,Invitation to Tender,2023-11-01,0,2023-11-29,Fieldstone Resources LTD,"PO Box 45059 Dunbar, Vancouver, British Columbia","$888,710.14",2024-01-04
BC Timber Sales Branch ,Prince George ,SU25TGC002 - Silviculture Survey Contract in Robson Valley,SU25TGC002,Invitation to Tender,2023-11-24,0,2023-12-14,CLAUSEN CONTRACTING LTD,"PO Box 111, McBride, British Columbia","$13,411.90",2024-01-04
Procurement Services Branch ,Ministry of Forests,FY24 Ford F-150 LightningReplacement Unit for VE100190,5129340,Invitation to Quote,2024-01-03,0,2024-01-03,"FORD MOTOR COMPANY OF CANADA, LIMITED/FORD DU CANADA LIMITEE",", Oakville, Ontario","$88,742.50",2024-01-04
BC Timber Sales Branch ,Kamloops ,PL25TEM631 - Spring Tree Planting – Merritt and Lillooet TSA,PL25TEM631,Invitation to Tender,2023-11-24,1,2023-12-27,Zanzibar,"#204 - 1801 WELCH STREET, NORTH VANCOUVER, British Columbia","$804,430.00",2024-01-05
Ministry of Housing,Ministry of Housing,Standardized Housing Designs,183220,Request for Proposal,2023-11-15,0,2023-12-13,Wiser Projects Inc,"1-415 Dunedin St, Victoria, British Columbia","$98,228.00",2024-01-05
Ministry of Public Safety and Solicitor General,Ministry of Public Safety and Solicitor General,Policing and Public Safety Modernization – Facilitation for Consultation with Indigenous Rightsholders and Partners,RFP - 54310,Request for Proposal,2023-08-04,0,2023-09-05,Deloitte INC / Deloitte LLP,,"$259,000.00",2024-01-05
Ministry of Public Safety and Solicitor General,Ministry of Public Safety and Solicitor General,Policing and Public Safety Modernization – Facilitation for Consultation with Indigenous Rightsholders and Partners,RFP - 54310,Request for Proposal,2023-08-04,0,2023-09-05,Deloitte INC / Deloitte LLP,"410 W Georgia St, Vancouver, British Columbia","$259,000.00",2024-01-05
