Issued by Organization,Issued for Organization,Title,Tender No,Procurement Method,Issued Date,Amendments,Closing Date,Successful Vendor,Successful Vendor City,Province,Country,Award Total,Date Awarded
Ministry of Environment and Climate Change Strategy,Ministry of Environment and Climate Change Strategy,Ruckle Park Active Farm Future Operations,BCP2019-01,RFP,2019/08/16,5,2019/09/03,Lane Agricultural Management,Salt Spring Island,British Columbia,Canada,$0.00,2021/01/01
Ministry of Attorney General,Ministry of Attorney General,Civil Execution Services for the Ministry of Attorney General,CSB21RFP001,RFP,2020/10/05,7,2020/10/09,Accurate Court Bailiff Services Ltd.,Burnaby,British Columbia,Canada,$0.00,2021/01/01
Ministry of Attorney General,Ministry of Attorney General,Civil Execution Services for the Ministry of Attorney General,CSB21RFP001,RFP,2020/10/05,7,2020/10/09,Canada West Court Bailiffs Ltd.,Vernon,British Columbia,Canada,$0.00,2021/01/01
Ministry of Attorney General,Ministry of Attorney General,Civil Execution Services for the Ministry of Attorney General,CSB21RFP001,RFP,2020/10/05,7,2020/10/09,Consolidated Civil Enforcement BC Inc.,Burnaby,British Columbia,Canada,$0.00,2021/01/01
Ministry of Attorney General,Ministry of Attorney General,Civil Execution Services for the Ministry of Attorney General,CSB21RFP001,RFP,2020/10/05,7,2020/10/09,Integrated Civil Enforcement,Surrey,British Columbia,Canada,$0.00,2021/01/01
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Developing a Monitoring Strategy for Forest For Tomorrow,1070-30/OT21FHQ196,SRFP,2020/10/29,0,2020/11/29,N/A,Prince George,British Columbia,Canada,$0.00,2021/01/04
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Developing a Monitoring Strategy for Forest For Tomorrow,1070-30/OT21FHQ196,SRFP,2020/10/29,0,2020/11/29,N/A,Prince George,British Columbia,Canada,$0.00,2021/01/04
Ministry of Indigenous Relations and Reconciliation,Ministry of Indigenous Relations and Reconciliation,BC Treaty Commission Effectiveness Review,11713,RFP,2020/09/23,1,2020/10/05,Harris Palmer Limited,Vancouver,British Columbia,Canada,"$200,000.00",2021/01/04
Procurement Services Branch,Ministry of Transportation and Infrastructure,5 Cattleguards (Williams Lake and Tatla Lake),ITQ-006397,Itq,2020/12/02,1,2020/12/09,Canada Rig Mats Ltd.,Kamloops,British Columbia,Canada,"$49,499.52",2021/01/04
Procurement Services Branch,"Ministry of Forests, Lands, Natural Resource Operations and R.D.",(Amended) Standing Offer for Cleaners/Disinfects (Chilliwack/PG),ITQ-006403,Itq,2020/12/15,2,2020/12/18,Lakeshore Mill Supplies Ltd.,Chilliwack,British Columbia,Canada,"$9,839.87",2021/01/04
