Issued by Organization,Issued for Organization,Title,Tender No,Procurement Method,Issued Date,Amendments,Closing Date,Successful Vendor,Successful Vendor City,Province,Country,Award Total,Date Awarded
Alberni-Clayoquot Regional District,Alberni-Clayoquot Regional District,Recycling Curbside Collection,09142021,RFP,2021/10/04,4,2021/10/15,N/A,,,2022/03/15,$0.00,
Alberni-Clayoquot Regional District,Alberni-Clayoquot Regional District,BCVFD Self Contained Breathing Apparatus,RFQ-BCVFDSCBA 02-22,RFQ,2022/02/23,1,2022/03/04,Guillevin International,Campbell River,,2022/03/07,"$169,532.45",
Alberni-Clayoquot Regional District,,,WCO01-22,RFP,,0,,Transform Compost Systems,Abbotsford,,2022/02/02,"$448,217.43",
Alberni-Clayoquot Regional District,Alberni-Clayoquot Regional District,ACHN Coordinator ,ACHN01-21,RFP,2021/11/30,1,2022/01/10,Marcie Dewitt,Ucluelet,,2022/01/26,"$240,000.00",
Asset Investment Recovery,,,ITQ-006884,ITQ,,0,,Westvac Industrial,Surrey,,2022/02/22,"$47,334.00",
BC Clinical and Support Services Society (See PHSA),,,PHSA Covid-426,DirectAward,,0,,Nutwell,Crusader Park,,2022/01/15,"$255,980.00",
BC Emergency Health Services,BC Emergency Health Services,ITQ PHSA COM112921 Comshel 28',ITQ PHSA COM112921,ITQ,2021/12/03,0,2021/12/13,Sinclair Technologies,Aurora,,2022/03/03,"$100,870.00",
BC Financial Services Authority,BC Financial Services Authority,ON-0002016 Information Management & Technology Strategy Advisor,ON-0002016,RFP,2022/01/13,0,2022/01/27,AlliedOne Consulting Inc,Vancouver,,2022/03/25,"$420,000.00",
BC Financial Services Authority,BC Financial Services Authority,RFP ON-0002004 – BCFSA Technical Training & Learning Specialist,ON-0002004,RFP,2021/11/17,0,2021/12/02,TEKsystems Canada Corp,Vancouver,,2022/01/06,"$258,000.00",
BC Games Society,BC Games Society,RFP: Team BC Clothing Package,RFP22BCGS002,RFP,2021/10/21,0,2021/11/10,Key Innovations Inc.,Surrey,,2022/02/28,"$350,000.00",
BC Housing Management Commission,BC Housing Management Commission,"Construction Advice,Costing,Rezoning and Development Consulting ",RFP 1070-2122-200,RFP,2021/12/15,0,2022/01/24,TL Housing Solutions Ltd.,Victoria,,2022/02/22,$0.00,
BC Housing Management Commission,BC Housing Management Commission,RFP Pest Control & Bed Bugs Non Heat Treatment & Prevention Serv,1070-2122/054,RFP,2021/06/14,1,2021/06/23,Atlas Pest and Wildlife Control Ltd.,Port Coquitlam,,2022/01/12,$1.00,
BC Housing Management Commission,BC Housing Management Commission,RFP Pest Control & Bed Bugs Non Heat Treatment & Prevention Serv,1070-2122/054,RFP,2021/06/14,1,2021/06/23,Terminix Canada Ltd.,Burnaby,,2022/01/12,$1.00,
BC Liquor Distribution Branch,BC Liquor Distribution Branch,Tenant Improvements of BCCS 7036 Park and Tilford,ITT2022-03-21,ITT,2022/03/18,3,2022/03/21,ICE Special Projects,Langley,,2022/03/25,"$528,123.71",
BC Liquor Distribution Branch,BC Liquor Distribution Branch,RFP2022-02-17 Senior-Level Executive Search Services,RFP2022-02-17,RFP,2022/02/03,1,2022/02/17,Davies Park & Associates dba Leaders International Executive Sea,Vancouver,,2022/03/24,"$800,000.00",
BC Liquor Distribution Branch,BC Liquor Distribution Branch,ITQ2022-02-24-Supply and Delivery of Ribbons,ITQ2022-02-24,ITQ,2022/02/18,4,2022/03/01,10886181 Canada Inc.,St John's,,2022/03/16,"$78,000.00",
BC Liquor Distribution Branch,BC Liquor Distribution Branch,SRFP2022-02-23 Janitorial Services for BCLS in Kamloops Area 3,SRFP2022-02-23,SRFP,2022/01/26,0,2022/02/23,Master Care Janitorial and Facility Services Inc.,Surrey,,2022/03/09,"$15,000.00",
BC Liquor Distribution Branch,BC Liquor Distribution Branch,RFP2021-10-08 Delivery Services of Non-Medical Cannabis - Zone 4,RFP2021-10-08,RFP,2021/09/09,0,2021/10/08,Vanguard Global Services ULC DBA Speedee Transport (Secondary),Burnaby,,2022/03/03,"$300,000.00",
BC Liquor Distribution Branch,BC Liquor Distribution Branch,RFP2021-10-29 Delivery Services of Non-Medical Cannabis - Zone 3,RFP2021-10-29,RFP,2021/09/28,0,2021/10/29,Vanguard Global Service ULC dba Speedee Transport (Secondary),Burnaby,,2022/03/03,"$600,000.00",
BC Liquor Distribution Branch,BC Liquor Distribution Branch,SRFP2022-02-21 2022 Store Manager Conference in Metro Vancouver,SRFP2022-02-21,SRFP,2022/02/09,2,2022/02/22,Delta Hotels Burnaby Conference Centre,Burnaby,,2022/03/03,"$200,000.00",
BC Liquor Distribution Branch,BC Liquor Distribution Branch,RFP2022-02-15 Repair and replacement of loading/exit doors,RFP2022-02-15,RFP,2022/01/27,2,2022/02/15,N/A,,,2022/02/18,$0.00,
BC Liquor Distribution Branch,,,SRFP-2022-02-08,SRFP,,0,,N/A,,,2022/02/18,$0.00,
BC Liquor Distribution Branch,BC Liquor Distribution Branch,RCSA2022-01-07 Request for Corporate Supply Arrangement- Pallets,RCSA2022-01-07,MSO,2021/12/16,0,2022/01/07,Pacific Pallet Ltd,Abbotsford,,2022/02/14,$0.00,
BC Liquor Distribution Branch,BC Liquor Distribution Branch,RCSA2022-01-07 Request for Corporate Supply Arrangement- Pallets,RCSA2022-01-07,MSO,2021/12/16,0,2022/01/07,Enviro Pallet Recovery Buy & Sell (2004),Richmond,,2022/02/14,$0.00,
BC Liquor Distribution Branch,,,ITQ2021-12-24,ITQ,,0,,N/A,,,2022/02/11,$0.00,
BC Liquor Distribution Branch,BC Liquor Distribution Branch,Video Surveillance Solution,RFI2022-01-07,RFI,2022/01/06,3,2022/01/14,N/A,,,2022/02/11,$0.00,
BC Liquor Distribution Branch,BC Liquor Distribution Branch,RFP2021-10-29B Delivery Services - Region 19,RFP2021-10-29B,RFP,2021/10/22,2,2021/11/05,Van Kam Freightways Ltd,Surrey,,2022/02/09,"$1,758,000.00",
