Issued by Organization,Issued for Organization,Title,Tender No,Procurement Method,Issued Date,Amendments,Closing Date,Successful Vendor,Successful Vendor City,Province,Country,Award Total,Date Awarded,
Ministry of Forests,Ministry of Forests,Wildfire Risk Reduction Treatments along Highway 39 Mackenzie FD,10005-40/FS23DMK012,ITT,2022/09/06,0,2022/09/26,N/A,,,,$0.00,2022/09/29,
Ministry of Forests,Ministry of Forests,Wildfire Risk Reduction Treatments along Highway 39 Mackenzie FD,10005-40/FS23DMK012,ITT,2022/09/06,0,2022/09/26,N/A,,,,$0.00,2022/09/29,
BC Timber Sales - Contracts,BC Timber Sales - Contracts,Taweel & Wavy FSR Bridge Replacements – Kamloops TSA (Kamloops),EN23TEK416,ITT,2022/08/24,0,2022/09/20,Deverell Contracting LTD,Kamloops,British Columbia,Canada,"$371,637.00",2022/09/29,
Ministry of Forests,Ministry of Forests,Powell River Fire Zone - Site Preparation,ITT23BCWSHQ016,ITT,2022/09/14,2,2022/09/27,N/A,,,,$0.00,2022/09/29,
BC Timber Sales - Contracts,BC Timber Sales - Contracts,"Roadside Brushing Minor Works, Sunshine Coast",EN23TBP004,ITT,2022/09/14,1,2022/09/20,Cedarspring Brushing Ltd.,Powell River,British Columbia,Canada,"$67,578.42",2022/09/28,
Ministry of Forests,Ministry of Forests,Robson Valley Road Ditching & Drainage Rehabilitation,EN23DPG815,ITT,2022/09/14,1,2022/09/20,Skyline Resources Ltd.,McBride,British Columbia,Canada,"$175,241.36",2022/09/27,
WorkSafeBC,WorkSafeBC,Supply of Custom Solid Chocolate,230-2022,RFP,2022/05/12,0,2022/06/09,N/A,,,,$0.00,2022/09/23,
BC Timber Sales - Contracts,BC Timber Sales - Contracts,Timber Reconnaissance Surveys - Bulkley Lakes Morice,PD23TAA0301,ITT,2022/08/02,1,2022/08/24,Forsite Consultants Ltd.,Salmon Arm,British Columbia,Canada,"$120,000.00",2022/09/23,
Ministry of Forests,Ministry of Forests,Logging & Fiber Removal from MPB Impacted Stands in PG,SP23DPG810,ITT,2022/08/22,0,2022/09/20,575012 B.C. Ltd.,Prince George,British Columbia,Canada,"$81,900.00",2022/09/23,
Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,Quick Bridge Superstructure Replacement,37737MJ0001,MOTITT,2022/08/17,5,2022/08/30,Luxton Construction Inc.,Vancouver,British Columbia,Canada,"$4,378,449.92",2022/09/21,
Ministry of Forests,Ministry of Forests,FFT Manual Brushing ,BR23DSN040,ITT,2022/09/14,1,2022/09/21,Rhino Reforestation Services Ltd,Prince George,British Columbia,Canada,"$71,471.40",2022/09/21,
Ministry of Forests,Ministry of Forests,FFT Manual Brushing ,BR23DSN040,ITT,2022/09/14,1,2022/09/21,Rhino Reforestation Services Ltd,Quesnel,British Columbia,Canada,"$71,471.40",2022/09/21,
Ministry of Forests,Ministry of Forests,Post Wildfire Silviculture Recce Surveys,SU23DRM002,ITT,2022/09/13,1,2022/09/20,Zanzibar Holding Ltd.,North Vancouver,British Columbia,Canada,"$17,584.00",2022/09/21,
Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,Nicola River Bridge rehabilitation works,25299MJ0000,MOTITT,2022/08/11,3,2022/08/12,N/A,,,,$0.00,2022/09/20,
BC Timber Sales - Contracts,BC Timber Sales - Contracts,EN23TFD014-TKO-Road Construction Sproule South & East FSRs - KL,EN23TFD014,ITT,2022/08/17,0,2022/09/08,Alpine Logging Ltd.,Nelson,British Columbia,Canada,"$972,782.00",2022/09/20,
Ministry of Forests,Ministry of Forests,Detailed Aerial Bark Beetle Surveys in the Prince George Forest ,FH23DPG809,ITT,2022/08/22,1,2022/09/08,Sky Helicopters Inc.,Pitt Meadows,British Columbia,Canada,"$47,375.00",2022/09/20,
Ministry of Forests,Ministry of Forests,Quesnel FZ-Construction and M&E Services for a new warehouse bld,ITT23BCWSHQ015,ITT,2022/09/06,5,2022/09/13,Southwest Design & Construction Ltd.,Grande Prairie,Alberta,Canada,"$499,290.00",2022/09/19,
BC Timber Sales - Contracts,BC Timber Sales - Contracts,EN23TBP003 - Grading & Minor Road Maintenance Works,EN23TBP003,ITT,2022/08/24,1,2022/09/15,Rockline Construction Ltd. dba Capilano Highway Services,West Vancouver,British Columbia,Canada,"$53,888.80",2022/09/16,
City of Richmond,City of Richmond,On Call Glazing Contractor,8082Q,RFQ,2022/04/14,0,2022/05/10,Extreme Glass,Pitt Meadows,British Columbia,,$0.00,2022/09/15,
Ministry of Forests,Ministry of Forests,Small Scale Salvage Manual Brushing,BR23DSN041,ITT,2022/09/02,0,2022/09/15,Dewan Enterprise Ltd.,Victoria,British Columbia,Canada,"$56,535.90",2022/09/15,
Ministry of Forests,Ministry of Forests,Wildfire Rehabilitation Works in the Columbia Fire Zone,GS23DSE007,ITT,2022/08/08,0,2022/08/23,N/A,,,,$0.00,2022/09/15,
Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,Replace the Temporary Gorge Ck Bridge with a Permanent Structure,24225MJ0000,MOTITT,2022/08/30,1,2022/09/07,Cutting Edge Consulting Inc.,Kamloops,British Columbia,Canada,"$1,417,360.00",2022/09/14,
Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,Rock Slope Stabilization,86002MJ4569,MOTITT,2022/08/10,0,2022/09/08,Dynamite Construction Ltd.,Kamloops,British Columbia,Canada,"$483,120.00",2022/09/14,
Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,Rock Slope Stabilization,86002MJ4569,MOTITT,2022/08/10,0,2022/09/08,Dynamite Construction Ltd.,Kamloops,British Columbia,Canada,"$483,120.00",2022/09/14,
Royal British Columbia Museum,Royal British Columbia Museum,Construction Management Services for Warehouse Tenant Imprmt,CRB CMG 2023 02,RFP,2022/06/03,1,2022/06/09,N/A,,,,$0.00,2022/09/14,
Ministry of Forests,Ministry of Forests,Repair Work and Maintenance of Bridges within the Stuart Nechako,EN23DSN031-A,ITT,2022/08/30,0,2022/09/14,Northern Road Service Ltd,Vanderhoof,British Columbia,Canada,"$30,926.00",2022/09/14,
Ministry of Forests,Ministry of Forests,Roadside Brushing,EN23DSN039-A,ITT,2022/08/30,0,2022/09/14,GDA Contracting Incorporated,Valemount,British Columbia,Canada,"$134,800.00",2022/09/14,
