Issued by Organization,Issued for Organization,Title,Tender No,Procurement Method,Issued Date,Amendments,Closing Date,Successful Vendor,Successful Vendor City,Province,Country,Award Total,Date Awarded
Ministry of Environment and Climate Change Strategy,Ministry of Environment and Climate Change Strategy,IS21IIT070RFP Java_Oracle_Postgres Apps,IS21IIT070RFP,RFP,2021/03/22,2,2021/04/08,Salus Systems Ltd.,Victoria,British Columbia,Canada,"$300,000.00",2021/07/01
Ministry of Children and Family Development,Ministry of Children and Family Development,Transition Counselling Kamloops,MCFD-10-2021,SRFP,2021/04/26,0,2021/05/24,Acceptance Counselling,Kamloops,British Columbia,Canada,"$60,000.00",2021/07/01
Ministry of Attorney General,Ministry of Attorney General,British Columbia legislation research database service,NOI-APR21-QS,NOI,2021/04/15,0,2021/04/29,Quckscribe,Victoria,British Columbia,Canada,$1.00,2021/07/01
Ministry of Children and Family Development,Ministry of Children and Family Development,Intensive Support Services Program and High Priority Services No,NR106SRFP,SRFP,2021/04/15,0,2021/05/07,North Peace Community Resources Society,Fort St John,British Columbia,Canada,"$113,000.00",2021/07/01
Ministry of Children and Family Development,Ministry of Children and Family Development,Aboriginal Infant Development Program,XCN2021-009RFP,RFP,2021/02/01,0,2021/03/31,Upper Island Women of Native Ancestry,Courtenay,British Columbia,Canada,"$113,750.00",2021/07/01
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",kp’itl’els/Brilliant Flats Heritage Conservation Management Plan,12342,RFP,2021/05/07,0,2021/05/24,N/A,N/A,N/A,N/A,$0.00,2021/07/05
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",GS22DMH040 Wildfire Suppression Rehab Plans 100 Mile ZoneC4,GS22DMH040,ITT,2021/06/14,1,2021/06/24,DWB Consulting Services Ltd.,Prince George,British Columbia,Canada,"$88,325.00",2021/07/05
Procurement Services Branch,Ministry of Transportation and Infrastructure,Motorola Two Way Radio and Enhanced Microphone (Victoria BC),ITQ-006720,Itq,2021/06/24,1,2021/06/30,Victoria Mobile Radio Ltd,Victoria,British Columbia,Canada,"$28,980.00",2021/07/05
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Strategic and Operational Human Resources (HR) Services,1070-30/HR22FHQ077SF,SRFP,2021/06/09,1,2021/06/22,Kathleen Elizabeth Noble dba K Noble HR Consulting,Victoria,British Columbia,Canada,"$25,000.00",2021/07/06
Ministry of Environment and Climate Change Strategy,Ministry of Environment and Climate Change Strategy,Wells Gray - Water Treatment and Generator Building Construction,CP22KAE-WG-040,ITT,2021/06/15,0,2021/06/29,679692 BC LTD dba On Call Service Centre,Clearwater,British Columbia,Canada,"$85,535.98",2021/07/06
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Forest Carbon Initiative Data Management,1070-30/AD22FHQ072SF,SRFP,2021/06/08,1,2021/06/15,Certes Applied and Natural Sciences Ltd,Kamloops,British Columbia,Canada,"$40,000.00",2021/07/07
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Starratt/Cranberry Marsh 3 Stream Crossings Manufacture,GS22DPG726,ITQ,2021/06/08,0,2021/06/30,N/A,N/A,N/A,N/A,$0.00,2021/07/07
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Starratt/Cranberry Marsh 3 Stream Crossings Manufacture,GS22DPG726,ITQ,2021/06/08,0,2021/06/30,N/A,N/A,N/A,N/A,$0.00,2021/07/07
