Issued by Organization,Issued for Organization,Title,Tender No,Procurement Method,Issued Date,Amendments,Closing Date,Successful Vendor,Successful Vendor City,Province,Country,Award Total,Date Awarded
BC Liquor Distribution Branch,BC Liquor Distribution Branch,Purchase of Security Safe,ITQ2021-12-09,ITQ,2021/11/25,0,2021/12/09,ACCURATE LOCK & SAFE CO LIMITED,New Westminster,British Columbia,Canada,"$41,000.00",2022/12/24
Ministry of Environment and Climate Change Strategy,Ministry of Environment and Climate Change Strategy,Myra-Bellevue Provincial Park - Trestle Deck Replacements,MYRA-BELLEVUE 2022,ITT,2022/09/09,0,2022/09/29,N/A,N/A,N/A,N/A,$0.00,2022/12/08
Ministry of Forests,Ministry of Forests,Snow Removal and Sanding – Deer Creek FSR,EN23DSE026,ITT,2022/10/27,0,2022/11/14,N/A,N/A,N/A,N/A,$0.00,2022/12/06
Ministry of Forests,Ministry of Forests,Snow Removal and Sanding – Bear Creek FSR,EN23DSE027,ITT,2022/10/27,0,2022/11/14,N/A,N/A,N/A,N/A,$0.00,2022/12/06
Ministry of Forests,Ministry of Forests,Snow Removal and Sanding – Ladybird Creek FSR,EN23DSE028,ITT,2022/10/27,0,2022/11/14,N/A,N/A,N/A,N/A,$0.00,2022/12/06
Ministry of Forests,Ministry of Forests,Snow Removal and Sanding – Little Slocan FSR,EN23DSE029,ITT,2022/10/27,0,2022/11/14,N/A,N/A,N/A,N/A,$0.00,2022/12/06
Ministry of Forests,Ministry of Forests,Snow Removal and Sanding – Pedro Creek FSR,EN23DSE030,ITT,2022/10/27,0,2022/11/14,N/A,N/A,N/A,N/A,$0.00,2022/12/06
Ministry of Forests,Ministry of Forests,South East Fire Centre - Pool area & Parking Lot Remediation  ,ITT23BCWHQ022,ITT,2022/10/19,1,2022/11/10,N/A,N/A,N/A,N/A,$0.00,2022/12/02
Ministry of Public Safety & Solicitor General & Emergency B.C.,Ministry of Public Safety & Solicitor General & Emergency B.C.,Forensic Consulting Services (Odontology),BCCS23NOI722A,NOI,2022/04/13,0,2022/04/27,N/A,N/A,N/A,N/A,$0.00,2022/11/29
Ministry of Forests,Ministry of Forests,Penticton Fire zone - Drying room & Exercise area building ,ITT23BCWSHQ021,ITT,2022/10/31,3,2022/11/10,N/A,N/A,N/A,N/A,$0.00,2022/11/10
Ministry of Forests,Ministry of Forests,Demobilization/remobilization at the Columbian Fire Zone,ITT23BCWSHQ018,ITT,2022/09/26,0,2022/10/13,N/A,N/A,N/A,N/A,$0.00,2022/11/04
BC Timber Sales - Contracts,BC Timber Sales - Contracts,SP24TFF002 - TKO - Mechanical Site Preparation – Grand Forks ,SP24TFF002,ITT,2022/10/04,0,2022/11/02,N/A,N/A,N/A,N/A,$0.00,2022/11/02
BC Timber Sales - Contracts,BC Timber Sales - Contracts,SP24TFF002 - TKO - Mechanical Site Preparation – Grand Forks ,SP24TFF002,ITT,2022/10/04,0,2022/11/02,N/A,N/A,N/A,N/A,$0.00,2022/11/02
Ministry of Forests,Ministry of Forests,EN23LMN101 FSR Structural & Environmental Maintenance,EN23LMN101,ITT,2022/08/18,0,2022/09/13,N/A,N/A,N/A,N/A,$0.00,2022/10/28
Ministry of Forests,Ministry of Forests,Road Maintenance on the Meadow MNT and Buchanon FSR’s (Sekirk),EN23DSE017,ITT,2022/08/18,0,2022/09/01,N/A,N/A,N/A,N/A,$0.00,2022/10/20
Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,"Highway 3A, Baker Street Intersection Improvements",25058MJ0000,MOTITT,2022/08/17,1,2022/08/23,N/A,N/A,N/A,N/A,$0.00,2022/10/18
Procurement Services Branch ,"ADM, CSNR & EFO for FLNR ",BCTS Propane Forklifts - 2 units - 1 each in Vanderhoof and Quesnel,7057,Invitation to Quote,2022-09-20,1,2022-10-03,Wajax,Mississauga,Ontario,Canada,124600,2022-11-28
Procurement Services Branch ,Corporate Services for the Natural Resource Sector ,BCTS Propane Forklifts - 2 units - 1 each in Vanderhoof and Quesnel,7057,Invitation to Quote,2022-09-20,1,2022-10-03,Wajax,Mississauga,Ontario,Canada,124600,2022-11-28
Procurement Services Branch ,Ministry of Forests,BCTS Propane Forklifts - 2 units - 1 each in Vanderhoof and Quesnel,7057,Invitation to Quote,2022-09-20,1,2022-10-03,Wajax,Mississauga,Ontario,Canada,124600,2022-11-28
BC Timber Sales Branch ,Prince George ,PL24TGC007 - Summer Tree Planting in the Robson Valley,PL24TGC007,Invitation to Tender,2022-11-09,1,2022-12-08,Future Roots Reforestation,Barriere,British Columbia,Canada,260857.09,2022-12-15
Procurement Services Branch ,Ministry of Municipal Affairs,Req 16353 - Electric Refuse Truck,5074595,Invitation to Quote,2022-10-24,1,2022-11-03,PACIFIC COAST HEAVY TRUCK GROUP,Barriere,British Columbia,Canada,825390,2022-11-24
"Ministry of Land, Water and Resource Stewardship",,Strategic Advisor for Atlin Taku Land Use Plan implementation ,7156,Request for Proposal,2022-09-21,0,2022-10-21,Willem Oliemans,Smithers,British Columbia,Canada,30000,2022-11-21
Procurement Services Branch ,Ministry of Environment and Climate Change Strategy,BC BID - Ice Machine,9287,Invitation to Quote,2022-11-17,0,2022-11-17,VWR INTERNATIONAL CO.,Toronto,Ontario,Canada,8206.78,2022-11-28
Procurement Services Branch ,Ministry of Environment and Climate Change Strategy,req 38916 - Mill Mixer,5074673,Invitation to Quote,2022-11-01,3,2022-11-14,VWR INTERNATIONAL CO.,Toronto,Ontario,Canada,15050.2,2022-12-14
BC Timber Sales - Contracts,BC Timber Sales - Contracts,Tender 2023D – Outdoor Compound and Interior Greenhouse Species ,2023D,ITT,2022/10/21,3,2022/11/03,"Roserim (2019) Nursery Ltd. BG 001,002,095",100 Mile House,British Columbia,Canada,"$105,116.00",2022/11/21
Ministry of Forests,Ministry of Forests,Lone Butte Interface Fuel Break - 100 Mile House NR District,OP23DMH012,ITT,2022/08/25,2,2022/09/29,Cole Forest Consultants Ltd.,100 Mile House,British Columbia,Canada,"$206,365.50",2022/10/03
Procurement Services Branch ,"Ministry of Land, Water and Resource Stewardship",Jira product renewals,5074482,Invitation to Quote,2022-10-10,1,2022-10-19,Highway Three Solutions Ltd.,Victoria,British Columbia,Canada,95727.55,2022-10-21
Procurement Services Branch ,Ministry of Transportation and Infrastructure,BC BID - ITQ for renewal of Jira Licensing. Expiration of curren,9502,Invitation to Quote,2022-11-22,0,2022-11-22,Highway Three Solutions Ltd.,Victoria,British Columbia,Canada,143444.51,2022-11-25
Procurement Services Branch ,Corporate Services for the Natural Resource Sector ,"Req 53588 - Side by Side Utility Vehicle (Tappen, BC)",6706,Invitation to Quote,2022-09-08,0,2022-09-19,Shuswap Xtreme Recreation,Salmon Arm,British Columbia,Canada,19265.89,2022-11-07
Procurement Services Branch ,Ministry of Forests,"Req 53588 - Side by Side Utility Vehicle (Tappen, BC)",6706,Invitation to Quote,2022-09-08,0,2022-09-19,Shuswap Xtreme Recreation,Salmon Arm,British Columbia,Canada,19265.89,2022-11-07
Product Distribution Centre ,,"PDC requires a consistent and reliable supply of warehouse supplies. The Goods covered by the opportunity are  cardboard boxes of various dimensions used in packaging and shipping, packaging t",6000078398,Request for Standing Arrangement,2022-12-29,,,The Great Little Box Company,Richmond,British Columbia,Canada,167000,2022-12-15
Procurement Services Branch ,Ministry of Environment and Climate Change Strategy,Req 38829- Type 2 picnic table bases (QTY35),5074471,Invitation to Quote,2022-10-20,1,2022-10-31,TXN Installations Ltd.,Invermere,British Columbia,Canada,40950,2022-11-03
Procurement Services Branch ,Vancouver Island/Coast,Req 38829- Type 2 picnic table bases (QTY35),5074471,Invitation to Quote,2022-10-20,1,2022-10-31,TXN Installations Ltd.,Invermere,British Columbia,Canada,40950,2022-11-03
BC Timber Sales Branch ,,Mechanical Site Prep - Grand Forks,SP24TFF002A,Invitation to Tender,2022-12-13,,,Broken Branch Contracting Ltd.,Lumby,British Columbia,Canada,97393.2,2022-12-13
"Ministry of Land, Water and Resource Stewardship",Information Innovation & Technology  ,INTEGRATED PETROLEUM SYSTEM AND EPAYMENTS,6813,Request for Proposal,2022-09-08,1,2022-10-14,WIDCAD SYSTEMS,Victoria,British Columbia,Canada,200000,2022-11-01
"Ministry of Land, Water and Resource Stewardship","Ministry of Energy, Mines and Low Carbon Innovation",INTEGRATED PETROLEUM SYSTEM AND EPAYMENTS,6813,Request for Proposal,2022-09-08,1,2022-10-14,WIDCAD SYSTEMS,Victoria,British Columbia,Canada,200000,2022-11-01
BC Timber Sales Branch ,Prince George ,PL24TGE002 - Summer Tree Planting in the Mackenzie District,PL24TGE002,Invitation to Tender,2022-11-07,0,2022-12-06,Coast Range Contracting Ltd.,Vernon,British Columbia,Canada,519085.83,2022-12-20
BC Timber Sales Branch ,Prince George ,PL24TGC005 - 2023 Tree Planting PG Spring and Summer,PL24TGC005,Invitation to Tender,2022-11-03,1,2022-12-01,Coast Range Contracting Ltd.,Vernon,British Columbia,Canada,770382.69,2022-12-15
Ministry of Agriculture and Food,,Regenerative Grazing Practices School,7694,Request for Proposal,2022-10-07,1,2022-11-10,Percy Folkard,Sorrento,British Columbia,Canada,30000,2022-12-01
Ministry of Environment and Climate Change Strategy,,Paul Lake Provincial Park Water System Design,CP23KAE050,Request for Proposal,2022-09-16,0,2022-10-21,ECORA ENGINEERING & RESOURCE GROUP LTD.,Kelowna,British Columbia,Canada,61278.28,2022-11-08
Procurement Services Branch ,Ministry of Transportation and Infrastructure,Req 113 - Lease of ten portable DMS signs for the PMB and AFB,5074814,Invitation to Quote,2022-11-07,0,2022-11-17,Barricades And Signs Ltd.,Langley,British Columbia,Canada,9250,2022-11-23
Procurement Services Branch ,Attorney General,Cisco Room Bars,5077500,Invitation to Quote,2022-11-24,0,2022-12-06,Charter,Victoria,British Columbia,Canada,435587.2,2022-12-15
Ministry of Finance,  Information Management & Strategic Initiatives ,PETRINEX PROJECT DIRECTOR,6876,Request for Proposal,2022-09-12,1,2022-10-18,GetSmart Solutions Inc,Victoria,British Columbia,Canada,500000,2022-11-01
Ministry of Public Safety and Solicitor General and Emergency Management BC,,ERASE Guns & Gangs Programming ,6962,Notice of Intent (BPS),2022-12-05,,,Safer Schools Together,Surrey,British Columbia,Canada,396000,2022-10-01
Product Distribution Centre ,,Tracoe Products,8915,Contract Award Notice,2022-11-08,0,2022-11-08,CHS,Oakville,Ontario,Canada,10962.82,2022-11-08
Procurement Services Branch ,"Ministry of Forests, Lands, Natural Resource Operations and R.D.",SMMINI-A Song Meters - Wildlife Acoustics - 82 with req,5080426,Invitation to Quote,2022-12-15,0,2022-12-15,Wildlife Acoustics Inc.,Nanaimo,British Columbia,Canada,42985.39,2022-12-16
Procurement Services Branch ,Ministry of Children and Family Development,Req 47484 - 53 units 2023 Outlander PHEV LE S-AWC (Plug-In Hybrid Electric Vehicle) NWP Selector code B3-4-PHEV,5075562,Invitation to Quote,2022-10-25,0,2022-10-25,"MITSUBISHI MOTOR SALES OF CANADA, INC.",Mississauga,British Columbia,Canada,2748050,2022-10-25
Procurement Services Branch ,"Ministry of Forests, Lands, Natural Resource Operations and R.D.",FY23 FOR MITSUBISHI OUTLANDER PHEV WHITE VE100992FY22 Replacemen,5077465,Invitation to Quote,2022-11-08,1,2022-11-08,"MITSUBISHI MOTOR SALES OF CANADA, INC.",Mississauga,British Columbia,Canada,51875,2022-11-22
Procurement Services Branch ,Ministry of Citizens' Services,SAP Architecture and Application Support,RFP5983,Request for Proposal,2022-08-22,0,2022-09-21,Focus Consulting,Victoria,British Columbia,Canada,2250000,2022-10-13
"Ministry of Land, Water and Resource Stewardship",,"UPGRADE, ENHANCEMENTS, MAINTENANCE AND TROUBLESHOOTING FOR WEBADE AND ADAM",7709,Request for Proposal,2022-10-06,1,2022-11-15,Vivid Solutions,Victoria,British Columbia,Canada,100000,2022-12-02
BC Timber Sales Branch ,Prince George ,PL24TGE003 - Summer Tree Planting in the Mackenzie District,PL24TGE003,Invitation to Tender,2022-11-10,0,2022-12-13,Blue Collar Silviculture Ltd,Quesnel,British Columbia,Canada,1045538.8,2022-12-13
Procurement Services Branch ,Ministry of Public Safety and Solicitor General and Emergency Management BC,Req 8423-Dodge Ram 1500 Classic or equivalent,9632,Invitation to Quote,2022-11-24,0,2022-11-24,Northland Dodge Chrysler,Prince George,British Columbia,Canada,119446,2022-12-12
Procurement Services Branch ,Enforcement Program / Conservation Officer Service ,Req 38661 - Supply and Install 150 HP Outboard Motor and Controls,11471,Invitation to Quote,2022-12-21,0,2022-12-21,Banner Receration and Marine,Vernon,British Columbia,Canada,30312.05,2022-12-21
"Ministry of Energy, Mines and Low Carbon Innovation",,"CleanBC Energy Coach, Better Homes and Better Buildings Website and PQEA Administration",4547,Request for Proposal,2022-07-29,0,2022-08-31,Summerhill,Toronto,Ontario,Canada,1566560,2022-10-25
Procurement Services Branch ,"ADM, CSNR & EFO for FLNR ",Req 53769 - Supply and Deliver 1 (one) Skid Steer Loader,7228,Invitation to Quote,2022-09-22,0,2022-10-03,Nor-Val Equipment Sales ,Armstrong,British Columbia,Canada,110507.43,2022-11-14
Procurement Services Branch ,Ministry of Forests,Req 53769 - Supply and Deliver 1 (one) Skid Steer Loader,7228,Invitation to Quote,2022-09-22,0,2022-10-03,Nor-Val Equipment Sales ,Armstrong,British Columbia,Canada,110507.43,2022-11-14
Ministry of Forests,Williams Lake ,RFP TO DEVELOP A WRITTEN TACTICAL PLAN FOR WILDFIRE CTION FOR THE FOX MOUNTAIN AND SOUTH LAKESIDE AREAS,7216,Request for Proposal,2022-09-22,0,2022-11-17,Forsite Consultants ,Salmon Arm,British Columbia,Canada,74905,2022-11-24
