Issued by Organization,Issued for Organization,Title,Opportunity ID,Procurement Method,Issued Date,Amendments,Closing Date,Successful Vendor,Successful Vendor Address,Award Total,Date Awarded
BC Timber Sales Branch ,BC Timber Sales Branch ,Manual Brushing Arrow South,BR25TFG005,Invitation to Tender,2023-09-22,1,2023-10-24,Mihis Silviculture Contracting,"2363 Sadler Dr, Prince George BC  V2K 4N7","$260,030.00",2023-10-26
BC Timber Sales Branch ,BC Timber Sales Branch ,Manual Brushing Arrow South,BR25TFG005,Invitation to Tender,2023-09-22,1,2023-10-24,West Arm Silviculture Inc,"2036, 622 Front St, Nelson BC  V1L 4B7","$227,165.00",2023-10-26
BC Timber Sales Branch ,BC Timber Sales Branch ,PL25TJE002 - Spring Tree Planting in the Vanderhoof Area,PL25TJ002,Invitation to Tender,entered 2023-12-07,,    ,Rhino Reforestation Services Inc,"180 Rondale Crescent|
Prince George, British Columbia
V2N 6W3","$536,024.28",2023-11-28
BC Timber Sales Branch ,BC Timber Sales Branch ,Seedling Production Contract Greenhouse and Open Compound Species,2024D,Invitation to Tender,2023-10-10,1,2023-11-07,Mountain View Growers Inc.,,"$651,110.30",2023-11-30
BC Timber Sales Branch ,BC Timber Sales Branch ,Seedling Production Contract Greenhouse and Open Compound Species,2024D,Invitation to Tender,2023-10-10,1,2023-11-07,PRT Armstrong,Armstrong,"$1,058,619.20",2023-11-30
BC Timber Sales Branch ,BC Timber Sales Branch ,Seedling Production Contract Greenhouse and Open Compound,2024D,Invitation to Tender,2023-10-10,1,2023-11-07,PRT Skimikin,Skimikin,"$759,927.70",2023-11-30
BC Timber Sales Branch ,BC Timber Sales Branch ,Seedling Production Contract Greenhouse and Open Compound,2024D,Invitation to Tender,2023-10-10,1,2023-11-07,PRT Vernon,Vernon,"$518,538.10",2023-11-30
BC Timber Sales Branch ,BC Timber Sales Branch ,Seedling Production Contract Greenhouse and Open Compound ,2024D,Invitation to Tender,2023-10-10,1,2023-11-07,PRT Campbell River,Campbell River,"$278,999.10",2023-11-30
BC Timber Sales Branch ,BC Timber Sales Branch ,Seedling Production Contract Greenhouse and Open Compound,2024D,Invitation to Tender,2023-10-10,1,2023-11-07,PRT Juniper Beach,Juniper Beach,"$736,169.20",2023-11-30
BC Timber Sales Branch ,BC Timber Sales Branch ,Seedling Production Contract Greenhouse and Open Compound ,2024D,Invitation to Tender,2023-10-10,1,2023-11-07,PRT Quesnel,Quesnel,"$679,469.60",2023-11-30
BC Timber Sales Branch ,BC Timber Sales Branch ,Seedling Production Contract Greenhouse and Open Compound,2024D,Invitation to Tender,2023-10-10,1,2023-11-07,PRT Red Rock,Red Rock,"$319,858.00",2023-11-30
BC Timber Sales Branch ,BC Timber Sales Branch ,Forest Seedling Production Contract,2024C,Invitation to Tender,entered 2023-11-06,,    ,PRT Skimikin,,"$111,295.80",2023-11-01
BC Timber Sales Branch ,BC Timber Sales Branch ,Forest Seedling Production Contract,2024C,Invitation to Tender,entered 2023-11-06,,    ,Purple Springs Reforestation Inc.,,"$71,187.60",2023-11-01
BC Timber Sales Branch ,BC Timber Sales Branch ,Forest Seedling Production Contract ,2024B,Invitation to Tender,entered 2023-11-06,,    ,Arbutus Grove Nursery Ltd.,,"$607,918.00",2023-11-01
BC Timber Sales Branch ,BC Timber Sales Branch ,Forest Seedling Production Contract,2024C,Invitation to Tender,entered 2023-11-06,,    ,Sorrento Nurseries Ltd.,,"$584,640.00",2023-11-01
BC Timber Sales Branch ,BC Timber Sales Branch ,Forest Seedling Production Contract,2024C,Invitation to Tender,entered 2023-11-06,,    ,Sylvan Vale Nursery Ltd,,"$275,755.00",2023-11-01
BC Timber Sales Branch ,BC Timber Sales Branch ,Forest Seedling Production Contract,2024C,Invitation to Tender,entered 2023-11-06,,    ,Woodmere Nursery Ltd,,"$193,170.00",2023-11-01
BC Timber Sales Branch ,BC Timber Sales Branch ,Forest Seedling Production Contract,2024C,Invitation to Tender,entered 2023-11-06,,    ,Mountain View Growers Inc.,,"$64,055.00",2023-11-01
BC Timber Sales Branch ,BC Timber Sales Branch ,Manual Brushing Arrow South,BR25TFG005,Invitation to Tender,2023-09-22,1,2023-10-24,Wildhorse Forestry LTD.,"Box 108, Ymir BC  V0G 2K0","$192,372.50",2023-10-26
BC Timber Sales Branch ,BC Timber Sales Branch ,Forest Seedling Production Contract,2024C,Invitation to Tender,entered 2023-11-06,,    ,PRT Hybrid,,"$391,928.10",2023-11-01
BC Timber Sales Branch ,BC Timber Sales Branch ,Forest Seedling Production Contract,2024C,Invitation to Tender,entered 2023-11-06,,    ,PRT Summit,,"$106,680.00",2023-11-01
BC Timber Sales Branch ,BC Timber Sales Branch ,Forest Seedling Production Contract,2024B,Invitation to Tender,entered 2023-11-06,,    ,Sylvan Vale Nursery Ltd,,"$185,246.00",2023-11-01
BC Timber Sales Branch ,BC Timber Sales Branch ,Forest Seedling Production Contract,2024C,Invitation to Tender,entered 2023-11-06,,    ,Arbutus Grove Nursery Ltd.,,"$234,648.00",2023-11-01
BC Timber Sales Branch ,BC Timber Sales Branch ,Forest Seedling Production Contract,2024C,Invitation to Tender,entered 2023-11-06,,    ,IndustrialForestry Service Ltd.,,"$1,143,563.00",2023-11-01
BC Timber Sales Branch ,BC Timber Sales Branch ,Forest Seedling Production Contract,2024C,Invitation to Tender,entered 2023-11-06,,    ,PRT Campbell River,,"$78,776.10",2023-11-01
BC Timber Sales Branch ,BC Timber Sales Branch ,Seedling Production Contract Greenhouse and Open Compound,2024D,Invitation to Tender,2023-10-10,1,2023-11-07,Purple Springs Reforestation Inc.,,"$184,958.40",2023-11-30
BC Timber Sales Branch ,BC Timber Sales Branch ,Seedling Production Contract Greenhouse and Open Compound,2024D,Invitation to Tender,2023-10-10,1,2023-11-07,PRT Coldstream,Coldstream,"$107,365.00",2023-11-30
BC Timber Sales Branch ,BC Timber Sales Branch ,Seedling Production Contract Greenhouse and Open Compound,2024D,Invitation to Tender,2023-10-10,1,2023-11-07,PRT Summit,Summit,"$146,497.50",2023-11-30
BC Timber Sales Branch ,BC Timber Sales Branch ,Seedling Production Contract Greenhouse and Open Compound,2024D,Invitation to Tender,2023-10-10,1,2023-11-07,PRT Summerland,Summerland,"$351,092.90",2023-11-30
BC Timber Sales Branch ,BC Timber Sales Branch ,Seedling Production Contract Greenhouse and Open Compound ,2024D ,Invitation to Tender,2023-10-10,1,2023-11-07,Bagry Bros. Orchards Ltd.,,"$85,572.00",2023-11-30
BC Timber Sales Branch ,BC Timber Sales Branch ,"Seedling Production Contract, Greenhouse and Open Compound",2024D,Invitation to Tender,2023-10-10,1,2023-11-07,IndustrialForestry Service Ltd.,,"$686,494.40",2023-11-30
BC Timber Sales Branch ,BC Transit,Seedling Production Contract Greenhouse and Open Compound Species,2024D,Invitation to Tender,2023-10-10,1,2023-11-07,K and C Silviculture Ltd.,,"$112,404.00",2023-11-30
BC Timber Sales Branch ,BC Transit,Seedling Production Contract,2024D,Invitation to Tender,2023-10-10,1,2023-11-07,Mt Ida Nursery Ltd,,"$278,062.40",2023-11-30
BC Timber Sales Branch ,BC Transit,Seedling Production Contract Greenhouse and Open Compound,2024D,Invitation to Tender,2023-10-10,1,2023-11-07,Woodmere Nursery Ltd,,"$164,080.60",2023-11-30
Liquor Distribution Branch,Ministry of Forests,Online Cannabis Product Knowledge Training Services,RFP2023-09-29,Request for Proposal,entered 2023-12-14,,    ,Cannabis Training Canada Inc,,"$58,500.00",2023-12-11
Liquor Distribution Branch,Ministry of Forests,Industrial Engineering Services,RFP2023-05-11,Request for Proposal,2023-04-04,6,2023-07-27,Joshua Tree Group,"1106 Adams St, Franklin, TN 37064, United States","$4,850,903.44",2023-11-30
Liquor Distribution Branch,Ministry of Forests,RFP2023-09-18 Millwork Services,RFP2023-09-18A,Request for Proposal,2023-09-18,0,2023-09-25,Beckville Woodcrafts 2022 Ltd,,"$1,550,000.00",2023-11-03
Liquor Distribution Branch,Ministry of Forests,Supply and Delivery of Packaging Materials,ITQ2023-10-10,Invitation to Quote,entered 2023-12-03,,    ,LOWRY SALES BC LTD ,"120 - 7337 North Fraser Way, Burnaby, BC V5J 0G7","$3,353,122.50",2023-12-04
Liquor Distribution Branch,Ministry of Forests,BCLS ITT2023-09-19 TI BCLS 090 Jericho,BCLS ITT2023-09-19 TI BCLS 090 Jericho,Invitation to Tender,entered 2023-11-06,,    ,Ice Special Projects Ltd.,"9975 199b St, Langley Twp, BC V1M 3G4","$418,899.45",2023-10-26
Liquor Distribution Branch,Ministry of Forests,ITQ2023-12-11 Supply and Delivery of Uninterruptible Power Supply (UPS) Batteries,ITQ2023-12-11,Invitation to Quote (BPS),2023-11-28,0,2023-12-11,Brogan Fire & Safety,"10535-98 Avenue, Grande Prairie, Alberta","$74,061.00",2023-12-15
Liquor Distribution Branch,Ministry of Forests,ITT2022-08-31 Tenant Improvements of BCLS 31 New Westminister,ITT2022-08-31,Invitation to Tender,2022-07-19,5,2022-09-15,Ice Special Projects Ltd.,"9975 199B St.
Langley BC V1M 3G4","$707,213.18",2023-10-17
Liquor Distribution Branch,Ministry of Health,ITQ2023-08-31 Supply and Delivery of Packaging Materials ,ITQ2023-08-31,Invitation to Quote,2023-08-17,0,2023-08-31,CP Packaging Corp," 464 Fraser View Pl #1A, Delta, BC V3M 6H4","$928,200.00",2023-11-23
