Issued by Organization,Issued for Organization,Title,Tender No,Procurement Method,Issued Date,Amendments,Closing Date,Successful Vendor,Successful Vendor City,Province,Country,Award Total,Date Awarded
Ministry of Environment and Climate Change Strategy,Ministry of Environment and Climate Change Strategy,Methodology Estimating the Economic Impacts of Climate Policy,GS22JHQ095,SRFP,2021/11/01,7,2021/11/08,N/A,,,,$0.00,2021/12/02
Ministry of Environment and Climate Change Strategy,Ministry of Environment and Climate Change Strategy,Methodology Estimating the Economic Impacts of Climate Policy,GS22JHQ095,SRFP,2021/11/01,7,2021/11/08,N/A,,,,$0.00,2021/12/02
Ministry of Environment and Climate Change Strategy,Ministry of Environment and Climate Change Strategy,Methodology Estimating the Effects of Climate Policy on GHGs,GS22JHQ097,SRFP,2021/11/02,4,2021/11/08,N/A,,,,$0.00,2021/11/30
Ministry of Environment and Climate Change Strategy,Ministry of Environment and Climate Change Strategy,Methodology Estimating the Effects of Climate Policy on GHGs,GS22JHQ097,SRFP,2021/11/02,4,2021/11/08,N/A,,,,$0.00,2021/11/30
Ministry of Environment and Climate Change Strategy,Ministry of Environment and Climate Change Strategy,Methodology Estimating the Effects of Climate Policy on GHGs,GS22JHQ097,SRFP,2021/11/02,4,2021/11/08,N/A,,,,$0.00,2021/11/30
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",2021 CaFC ITQ for Snow Plowing & Removal Services ,GS22CAE0288,ITQ,2021/11/16,0,2021/11/26,N/A,,,,$0.00,2021/11/29
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",2021 CaFC ITQ for Snow Plowing & Removal Services ,GS22CAE0288,ITQ,2021/11/16,0,2021/11/26,N/A,,,,$0.00,2021/11/29
Ministry of Education,Ministry of Education,Short-Form Request for Proposals for Business Analyst,EDU22-507-SRFP,SRFP,2021/10/06,2,2021/10/14,N/A,,,,$0.00,2021/11/26
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Mechanical Site Prep of Wildfire Impacted Stands Canoe E. FSR/,SP22DPG737,ITT,2021/10/27,3,2021/11/01,N/A,,,,$0.00,2021/11/23
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",TINMUSKET ROAD WILDFIRE RISK REDUCTION FUEL MANAGEMENT PRESCRIPT,FI22DCC008,ITT,2021/10/06,2,2021/10/08,N/A,,,,$0.00,2021/11/22
